district_id,cook_rating,delta_seats_no_maturity,delta_seats_with_maturity,model_party_no_maturity,model_party_with_maturity
WA-10,Likely D,0.0,0.0,0.0,0.0
WI-01,Lean R,0.15891416554532195,0.06334991894241498,4904769.664314354,2220689.8461097553
WI-02,Safe D,0.0,0.0,0.0,0.0
WI-03,Likely R,0.03915650597969589,0.053420739728858024,5945890.120507608,12203333.557456907
WI-04,Safe D,0.0,0.0,0.0,0.0
WI-05,Safe R,1.980006300608911e-06,2.5889930673308244e-07,91.1407863972272,14.719830812200598
WI-06,Safe R,0.011355055243037308,0.0009877014299363648,150088.10315825924,11072.041743598864
WI-07,Safe R,0.0026496901559460335,0.0013925961161528229,94600.35447344431,59694.958589200134
WI-08,Safe R,0.03087313860544376,0.0029497817760648776,600768.0094864275,41177.05488230304
WV-01,Safe R,3.5301851720171556e-05,8.895639065099967e-06,3947.307825667085,1309.2555836629472
WV-02,Safe R,9.081808842085256e-05,1.0665592428157292e-05,5208.888424538163,761.5934704345127
WY-00,Safe R,1.715628942656046e-10,5.759037565477893e-10,0.04877225867858215,0.23854306137218373
