district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
TX-17,TX,17,Safe R,Challenger,-14.809739204605819,35834.38,891844.6399999999,0.038627994411256604,-35.163,6.982,0.0,2.8e-05,2.8e-05,2.8e-05,0.0,R,False
CA-02,CA,2,Safe D,Incumbent,23.304486035062574,958825.63,123059.31,0.8862547157741193,53.343,12.948,1.0,2.6e-05,0.000743,0.000743,0.0,D,False
KS-04,KS,4,Safe R,Challenger,-14.574908575782132,98796.57,2033296.41,0.04633783372805815,-33.802,6.971,0.0,2.6e-05,7.7e-05,7.7e-05,0.0,R,False
FL-05,FL,5,Safe R,Challenger,-11.450101278446976,18455.31,983848.47,0.018412890750546706,-35.49,6.822,0.0,2.4e-05,1.4e-05,1.4e-05,0.0,R,False
MN-04,MN,4,Safe D,Incumbent,16.427906101446403,1557412.02,95138.59,0.9424292427570493,48.025,12.347,0.9999,2.1e-05,0.001195,0.001206,-1.2e-05,D,False
CA-39,CA,39,Safe D,Incumbent,12.638332359465792,1660290.9000000001,56149.02,0.9672875121664614,44.816,12.027,0.9999,2.1e-05,0.001171,0.001286,-0.000115,D,False
TX-32,TX,32,Safe D,Incumbent,13.571719379477386,2781772.47,149036.89,0.9491482141301746,45.181,12.105,0.9999,1.9e-05,0.002004,0.002154,-0.000151,D,False
TX-18,TX,18,Safe D,Challenger,24.071403016543012,1681201.37,69381.33,0.960366722463326,26.009,7.444,0.9998,1.8e-05,0.001302,0.001302,0.0,D,False
SC-02,SC,2,Safe R,Challenger,-8.884926417688632,11179.98,1100949.7,0.010052766508308636,-35.855,6.701,0.0,1.8e-05,9e-06,9e-06,0.0,R,False
KY-06,KY,6,Safe R,Challenger,-9.185896454494886,51379.41,3427609.02,0.01476849119616072,-34.01,6.715,0.0,1.8e-05,4e-05,4e-05,0.0,R,False
CA-20,CA,20,Safe R,Challenger,-16.1928793689232,144083.35,2272655.2,0.05961892319713276,-34.207,7.049,0.0,1.7e-05,0.000112,0.000112,0.0,R,False
KS-01,KS,1,Safe R,Challenger,-18.35642947387447,62835.33,867436.85,0.06754510276766527,-35.994,7.156,0.0,1.6e-05,4.9e-05,4.9e-05,0.0,R,False
