district_id,state,district,cook_rating,incumb_status,pvi,d_total_22,r_total_22,d_total,r_total,mu_22,mu_hat,sigma_i,p_win_22,p_win,msg_22,msg_i_per_1m,rec_share_22,obs_share_24,diff_22,outcome,redistricting_flagged
CA-09,CA,9,Likely D,Incumbent,4.989054547840372,6573251.67,1227939.6,4507023.42,1335500.51,29.546151746745128,27.534,10.368,0.9978123232354096,0.996,1.9390115550385717e-09,0.004418,0.0,0.006007,-0.006007,D,False
MO-05,MO,5,Safe D,Incumbent,10.413225733597686,273712.84,28755.0,462883.3,56720.57,37.60903594090829,37.609,10.923,0.9997125735591922,0.9997,4.2674725251637585e-09,0.004267,0.0,0.000617,-0.000617,D,False
VA-04,VA,4,Safe D,Challenger,15.574281632020249,333989.99,373071.65,1941934.59,125256.56,17.623186433393556,17.623,6.8,0.9952240298694908,0.9952,4.247032282163785e-09,0.004247,0.0,0.002588,-0.002588,D,False
PA-04,PA,4,Likely D,Incumbent,6.721307114718512,1041613.63,2777486.23,806676.21,18892.0,6.000221497186047,35.093,10.542,0.7153807903809729,0.9996,1.9212256102924876e-07,0.004101,0.15,0.001075,0.148925,D,False
NJ-09,NJ,9,Safe D,Incumbent,9.263237829680254,618495.52,321799.42000000004,556919.28,48175.61,36.91236422510617,36.912,10.803,0.999683396055766,0.9997,4.0547296887321015e-09,0.004055,0.0,0.000742,-0.000742,D,False
OR-06,OR,6,Likely D,Incumbent,3.5943373465252613,4951178.94,1409510.24,3782290.61,531924.88,25.99184682479537,28.704,10.23,0.9944693581703896,0.9975,5.543989190958721e-09,0.004023,0.0,0.005041,-0.005041,D,False
CO-03,CO,3,Likely R,Open,-7.619998140340705,7969852.44,6999606.87,16853163.22,2238644.26,-13.87462412762534,-11.688,8.248,0.0462586529445696,0.0782,3.3942531433836636e-09,0.004013,0.0,0.022464,-0.022464,R,False
FL-09,FL,9,Safe D,Incumbent,9.587847940804794,489785.37,861745.5199999999,739349.51,109556.78,36.06058815015672,36.061,10.836,0.999562219712061,0.9996,3.892779304218676e-09,0.003893,0.0,0.000985,-0.000985,D,False
CA-26,CA,26,Safe D,Incumbent,8.003792259311972,1346493.89,2307593.88,802508.4,62754.66,35.51005772064312,35.51,10.673,0.9995613606002914,0.9996,3.885608657082489e-09,0.003886,0.0,0.00107,-0.00107,D,False
CA-25,CA,25,Likely D,Incumbent,6.785435303968063,1335663.17,853208.86,1375473.98,141638.99,24.43957972687889,33.466,10.548,0.9897448596390044,0.9992,2.6900657956409826e-08,0.003706,0.0,0.001833,-0.001833,D,False
WA-08,WA,8,Lean D,Incumbent,0.9197171183407572,9796580.5,2038121.32,5080931.14,147981.7,24.044383703841515,27.701,9.97,0.9920580832672335,0.9973,4.211145962269889e-09,0.003679,0.0,0.006772,-0.006772,D,False
IL-14,IL,14,Likely D,Incumbent,3.54197654493737,5768316.48,811024.46,3321444.51,302665.26,28.63934037160288,29.651,10.225,0.9974524865895892,0.9981,2.6763402695467642e-09,0.003665,0.0,0.004427,-0.004427,D,False
TN-05,TN,5,Safe R,Challenger,-9.101000979194431,1845732.43,4166894.5,418611.7,936808.76,-18.07868171161578,-18.079,6.39,0.0023329428987828,0.0023,3.636021913546242e-09,0.003636,0.0,0.000558,-0.000558,R,False
NY-11,NY,11,Likely R,Challenger,-5.641502588722533,4339803.44,3029952.8000000003,273868.12,1564360.49,-10.964632113563416,-16.915,6.181,0.0380384989936047,0.0031,7.862474674999646e-09,0.003594,0.0,0.000365,-0.000365,R,False
FL-07,FL,7,Likely R,Challenger,-5.117554716684672,680593.13,5737629.08,123814.49,1069151.55,-17.735118803127367,-17.828,6.15,0.0019647724844112,0.0019,6.845989576498939e-10,0.003526,0.0,0.000165,-0.000165,R,False
IL-13,IL,13,Likely D,Incumbent,3.4188055743444465,3122096.7,1233088.3,2577542.24,71948.0,23.89369258587665,30.858,10.213,0.9903478115064458,0.9987,1.3250698835227702e-08,0.003502,0.0,0.003436,-0.003436,D,False
CT-03,CT,3,Likely D,Incumbent,6.922120923630809,1288911.05,50000.0,799118.29,3129.27,35.004292027543485,35.783,10.562,0.9995402451789704,0.9996,2.6506651360423475e-09,0.003456,0.0,0.001065,-0.001065,D,False
WA-05,WA,5,Safe R,Challenger,-8.078962030869253,507345.06,2386928.0,554099.69,1421956.79,-17.22006107711294,-17.22,6.328,0.0032496833069997,0.0032,3.399151568786032e-09,0.003399,0.0,0.000739,-0.000739,R,False
SC-04,SC,4,Safe R,Challenger,-12.715665017842142,23247.0,511447.83,508352.22,355348.84,-19.8132022986038,-19.813,6.616,0.0013729374749084,0.0014,3.3943427687428764e-09,0.003394,0.0,0.000678,-0.000678,R,False
NC-01,NC,1,Lean D,Incumbent,2.6847642563189944,2289216.6,1739564.1900000002,8511610.34,1933890.21,17.6730725385139,25.896,10.141,0.9593108256443446,0.9947,4.878327948378609e-08,0.003296,0.0,0.011345,-0.011345,D,False
WA-10,WA,10,Likely D,Incumbent,6.465507414278027,1167243.37,174805.77,1150466.21,26855.0,32.11858455818443,34.774,10.516,0.9988717906354962,0.9995,6.0755444046295715e-09,0.003102,0.0,0.001533,-0.001533,D,False
IA-02,IA,2,Likely R,Challenger,-4.036017317545893,3792926.58,5048481.16,477091.38,3253294.79,-10.32992168322643,-15.576,6.086,0.0448284605110598,0.0052,7.611627462015919e-09,0.002882,0.0,0.000636,-0.000636,R,False
TX-24,TX,24,Safe R,Challenger,-11.114874528587617,593234.1799999999,1417920.95,1139074.63,892291.53,-18.02033963136528,-18.02,6.515,0.0028368765722387,0.0028,2.835798843064304e-09,0.002836,0.0,0.001518,-0.001518,R,False
MS-02,MS,2,Safe D,Incumbent,11.473888206130106,613578.04,55115.03,435270.81,32565.12,39.92722495424604,39.927,11.035,0.9998517744968094,0.9999,2.527290806093143e-09,0.002527,0.0,0.00058,-0.00058,D,False
