district_id,cook_rating,predicted_dccc_share,predicted_dccc_dollars,model_optimal_dollars
NM-02,Lean D,0.004963810901901911,1957268.5226526118,1389145.455074559
NM-03,Likely D,0.004268970358228764,1683287.593227361,0.0
NV-01,Likely D,0.002996401842702063,1181504.1152538497,1220711.1354745994
NV-02,Likely R,0.0040872605642172455,1611638.0346311291,4897733.766445626
NV-03,Lean D,0.006284549987403415,2478046.0240071896,2561849.5600484246
NV-04,Likely D,0.004213200528166044,1661297.1235957271,845549.3016464522
NY-01,Likely R,0.005800335857017071,2287116.696851381,4819021.630933661
NY-02,Likely R,0.005884246168526184,2320203.173086774,4122919.333959095
NY-03,Lean D,0.005453196010291059,2150236.8059000676,1614248.718626283
NY-04,Lean D,0.005145988075493814,2029102.3725844517,992382.4304961662
NY-05,Safe D,3.31013413819789e-05,13052.111537871366,0.0
NY-06,Safe D,0.0005013330343040919,197679.44162283707,0.0
NY-07,Safe D,5.673595674608183e-05,22371.42075640666,0.0
NY-08,Safe D,0.005479386320109289,2160563.8449470424,0.0
NY-09,Safe D,5.928740460290821e-05,23377.476119120478,0.0
NY-10,Safe D,0.00018255736153480705,71983.76093933872,0.0
NY-11,Likely R,0.003982925473337345,1570497.912006981,710546.6348727936
NY-12,Safe D,0.0002883807804768247,113710.74267736793,0.0
NY-13,Safe D,1.184981883053425e-05,4672.474003240986,0.0
NY-14,Safe D,0.009751725935876202,3845179.9621360237,0.0
NY-15,Safe D,3.377716607953338e-05,13318.594374042215,5000.0
NY-16,Safe D,0.00014573960132949467,57466.2370955479,0.0
NY-17,Toss-Up,0.02128260077567271,8391891.915633937,224342.67594575882
NY-18,Lean D,0.005470839862242426,2157193.9113831795,0.0
NY-19,Lean D,0.0055412198347218715,2184945.271675006,1947996.9311083064
NY-20,Likely D,0.0020710489335717193,816630.4008478703,0.0
NY-21,Likely R,0.011121572880602688,4385321.067176448,5264798.684079979
NY-22,Lean D,0.004492675941038973,1771496.4118607047,322454.6261341431
NY-23,Safe R,0.0011418259844331753,450230.70013033465,393113.66101475025
NY-24,Safe R,0.0014302273188550529,563949.5473851055,124942.38132108015
NY-25,Likely D,0.0023015964916901633,907537.0625635206,0.0
NY-26,Safe D,0.0015627535434707056,616205.6491972879,0.0
OH-01,Lean D,0.0048625937287914665,1917357.8188010517,2235489.820373821
OH-02,Safe R,8.451017718747227e-05,33323.007850572416,0.0
OH-03,Safe D,0.00021427500019139816,84490.26793210697,0.0
OH-04,Safe R,0.00038363411625912445,151269.85995416043,0.0
OH-05,Safe R,0.0006225684382563748,245483.486675391,37.24998394854629
OH-06,Safe R,0.0005777900233951152,227827.0159446784,1312.4605346967
OH-07,Likely R,0.003214380229767293,1267454.6568947271,2500633.294871559
OH-08,Safe R,0.000730455804626727,288024.29863655404,7759.983600376974
OH-09,Toss-Up,0.004131308740275937,1629006.5666287732,3089590.9701862456
OH-10,Likely R,0.004867456434811146,1919275.220897007,3429867.8833785043
OH-11,Safe D,3.877864761434013e-05,15290.716714753207,0.0
OH-12,Safe R,0.000580699608295954,228974.2874771647,2127356.9824953014
OH-13,Lean D,0.00504507348710885,1989310.980199489,0.0
OH-14,Safe R,0.0021343695332091453,841598.1965506308,2587.8817614732434
OH-15,Likely R,0.004584499233269626,1807703.036786833,5247622.709791667
OK-01,Safe R,0.0011212515920345986,442118.0601828685,6607.456782104564
OK-02,Safe R,3.9048688172100864e-05,15397.195767640198,0.0
OK-03,Safe R,6.87239984274716e-05,27098.39708466312,0.0
OK-04,Safe R,0.00034052756005401377,134272.61585126934,78.37592402104201
OK-05,Safe R,0.0012014639401155044,473746.4012154927,1415913.9623641698
OR-01,Safe D,0.000262783328292543,103617.47192017542,0.0
OR-02,Safe R,0.0005369144463995222,211709.46397103588,22408.131493211025
OR-03,Safe D,0.00011483057888859918,45278.573648024525,0.0
OR-04,Likely D,0.0027687613948219345,1091743.749292366,617690.0948057874
OR-05,Lean D,0.0044092538241999315,1738602.434509645,812456.6383302053
OR-06,Likely D,0.003013102178527361,1188089.1851274944,57602.53153679287
PA-01,Toss-Up,0.01330787736224943,5247397.610265934,8645137.514218459
PA-02,Safe D,0.0001234500442852159,48677.294638066116,0.0
PA-03,Safe D,1.5936599203269347e-05,6283.9226947058605,0.0
PA-04,Likely D,0.001964349921675403,774558.1661253955,0.0
PA-05,Safe D,0.0005101018248197595,201137.0426469766,0.0
PA-06,Likely D,0.0028180463260960996,1111177.1738386273,369975.52482116874
PA-07,Lean R,0.009170458656684081,3615981.83769201,6163744.102937836
PA-08,Likely R,0.00726506267901931,2864669.661629214,6720426.135199249
PA-09,Safe R,0.00020082825299591576,79188.11288673633,24097.60577226919
PA-10,Likely R,0.007386117772145753,2912402.608746999,6916825.3669002205
PA-11,Safe R,0.0009380764142578485,369890.6895841297,64421.779162700754
